objectid,title,format,filename,creator,subject,location,latitude,longitude,date
item27,Japanese Cooking: A Simple Art,image/jpeg,simpleart.jpg,"Tsuji, Shizuo; Tsuji, Yoshiki",Japanese; Asian; soups; sushi; noodles; rice; desserts; fish; seafood; sauces; poultry; meat; dressings; pickles; main dishes; side dishes; appetizers; vegetables; salad,"Osaka, Japan",34.6937,135.5023,2021
item28,Smoke and Pickles: Recipes and Stories from a New Southern Kitchen,image/jpeg,smokeandpickles.jpg,"Lee, Edward",Southern; Korean; fusion; pickles; snacks; main dishes; side dishes; appetizers; meat; poultry; salad; soup; game meat; condiments; sauces; fish; seafood; vegetables; cocktails; dessert,"Louisville, Kentucky",38.2469,85.7664,2013
item29,The Book of St John,image/jpeg,stjohn.jpg,"Henderson, Fergus; Gulliver, Trevor",offal; pickles; dressings; condiments; preserves; sauces; breakfast; lunch; main dishes; desserts; appetizers; salads; side dishes; meat; poultry; fish; seafood; cocktails,"London, England",51.5072,0.1276,2019
item30,Sunday Suppers: Recipes + Gatherings,image/jpeg,sundaysuppers.jpg,"Mordechai, Karen",breakfast; brunch; lunch; snacks; drinks; cocktails; soups; salads; main dishes; side dishes; meat; poultry; vegetables; preserves; sauces; condiments; pickles; menus,"Brooklyn, New York",40.6782,73.9442,2014
item31,Sweet Enough,image/jpeg,sweetenough.jpg,"Roman, Alison",desserts; baking; pastry; breakfast; snacks,"New York City, New York",40.7128,74.2179,2023
item32,Tartine Bread,image/jpeg,tartine.jpg,"Robertson, Chad",baking; bread; sourdough; sandwiches; soup; preserves; dressings; pizza; desserts; pastry; sauce; salad; condiments; pickles; fish; seafood,"San Francisco, California",37.7749,122.4194,2010
item33,Food52: A New Way to Dinner,image/jpeg,newway.jpg,"Hesser, Amanda; Stubbs, Merrill",main dishes; side dishes; menus; salads; soups; vegetables; desserts; meat; poultry; dressings; pasta; drinks; fish; pickles; cocktails; condiments,"New York City, New York",40.7128,74.2179,2016
item34,"Huckleberry: Stories, Secrets, and Recipes from our Kitchen",image/jpeg,huckleberry.jpg,"Natha, Zoe; Loeb, Josh; Almerinda, Laurel",breakfast; brunch; baking; lunch; bread; sandwiches; pastry; drinks,"Santa Monica, California",34.0119,118.4916,2014
item35,Mastering the Art of French Cooking: Volume 1,image/jpeg,mastering1.jpg,"Child, Julia; Beck, Simone; Bertholle, Louisette",French; soups; sauces; main dishes; side dishes; appetizers; meat; fish; shellfish; poultry; offal; vegetables; salads; desserts,"Paris, France",48.8575,2.3514,1961
item36,Mastering the Art of French Cooking: Volume 2,image/jpeg,mastering2.jpg,"Child, Julia; Beck, Simone; Bertholle, Louisette",French; soups; sauces; main dishes; side dishes; appetizers; meat; fish; shellfish; poultry; offal; vegetables; salads; desserts; baking; bread,"Paris, France",48.8575,2.3514,1970
