objectid,title,format,filename,creator,description,subject,location,latitude,longitude,date
item14,Anthony Bourdain's Les Halles Cookbook,image/jpeg,leshalles.jpg,"Bourdain, Anthony; Mereilles, Jose; Lajaunie, Philippe","Before stunning the world with his bestselling Kitchen Confidential, and hit TV shows Parts Unknown and No Reservations, Anthony Bourdain spent years serving some of the best French brasserie food in New York. With its no-nonsense, down-to-earth atmosphere, Les Halles matched Bourdain's style perfectly: a restaurant where you can dress down, talk loudly, drink a little too much wine, and have a good time with friends. Now, 20 years after its original publication, Bourdain's Les Halles Cookbook remains an audacious classic, full of his signature humor and charm.

Bourdain teaches you everything you need to know to prepare classic French bistro fare. While you're being guided, in simple steps, through recipes like roasted veal short ribs and steak frites, escargots aux noix and foie gras au pruneaux, you'll feel like he's in the kitchen beside you-firing off a few insults when you've scorched the sauce, and then patting you on the back for finally getting the steak tartare right.

As practical as it is entertaining, Anthony Bourdain's handsomely repackaged Les Halles Cookbook and new foreword from Gabrielle Hamilton make for a can't-miss treat for cookbook lovers, aspiring chefs, and Bourdain fans everywhere.

Source: Publisher",French; soups; salads; main dishes; side dishes; desserts; appetizers; poultry; game meat; meat; fish; seafood; vegetables; offal; sauces; condiments,"New York City, New York",40.7128,74.2179,2004
item15,Lucky Peach Presents 101 Easy Asian Recipes,image/jpeg,luckypeach.jpg,"Meehan, Peter; The Editors of Lucky Peach","Beholden to bold flavors and not strict authenticity, the editors of Lucky Peach present a compendium of 101 easy, Asian recipes that hit the sweet spot between craveworthy and stupid simple and are destined to become favorites. Your friends and lovers will marvel as you show off your culinary worldliness, whipping up meals with fish-sauce-splattered panache and all the soy-soaked, ginger-scalliony goodness you could ever want—all for dinner tonight. You'll never have a reason to order take-out again.
Source: Publisher",Asian; Japanese; Thai; Chinese; Korean; Philipino; Vietnamese; breakfast; main dishes; side dishes; appetizers; soups; vegetables; fish; seafood; meat; poultry; noodles; rice; pickles; sauces; condiments,"New York City, New York",40.7128,74.2179,2015
item16,Mexico: The Cookbook,image/jpeg,mexico.jpg,"Carrillo Arronte, Margarita","Mexico: The Cookbook is the definitive bible of home-cooking from Mexico. With a culinary history dating back 9,000 years, Mexican food draws influences from Aztec and Mayan Indians and is renowned for its use of fresh aromatic ingredients, colorful presentations and bold food combinations. The book features more than 700 delicious and authentic recipes that can be easily recreated at home. From tamales, fajitas, and moles to cactus salad, blue crab soup, and melon seed juice, the recipes are a celebration of the fresh flavors and ingredients from a country whose cuisine is revered around the world. Organized by food type/style (Street Food, Starters, Drinks, Fish and Seafood, Meat and Poultry, Vegetables, Pulses and Rice, and Dessert), Mexico: The Cookbook also includes an extensive introduction to Mexican culinary history, ingredients, and techniques, while a Chef Menu section proffers inspirational recipes and menus by some of the world's most prominent Mexican chefs.",Mexican; street food; snacks; salads; appetizers; main dishes; side dishes; desserts; sauce; bread; pastry; drinks; fish; seafood; meat; poultry; vegetables; soups; rice,"Mexico City, Mexico",19.4326,99.1332,2014
item17,Mission Street Food: Recipes and Ideas From an Improbable Restaurant,image/jpeg,missionstreet.jpg,"Myint, Anthony; Leibowitz, Karen Diane","Mission Street Food is a restaurant. But it's also a charitable organization, a taco truck, a burger stand, and a clubhouse for inventive cooks tucked inside an unassuming Chinese take-out place. In all its various incarnations, it upends traditional restaurant conventions, in search of moral and culinary satisfaction.

Like Mission Street Food itself, this book is more than one thing: it's a cookbook featuring step-by-step photography and sly commentary, but it's also the memoir of a madcap project that redefined the authors' marriage and a city's food scene. Along with stories and recipes, you'll find an idealistic business plan, a cheeky manifesto, and thoughtful essays on issues ranging from food pantries to fried chicken. Plus, a comic.

Ultimately, Mission Street Food: Recipes and Ideas from an Improbable Restaurant presents an iconoclastic vision of cooking and eating in twenty-first century America.",meat; seafood; poultry; vegetables; sauces; dessert; fusion; main dishes; side dishes,"San Francisco, California",37.7749,122.4194,2011
item18,More is More: Get Loose in the Kitchen,image/jpeg,moreismore.jpg,"Baz, Molly","It’s time to crank up the heat and lose the measuring spoons because the secret to cooking is hiding in one simple motto: MORE IS MORE. In her bestselling debut cookbook, Cook This Book, Molly Baz taught the cooking essentials and put her love for mortadella and dill on blast. In More Is More, she’s teaching cooks how to level up their cooking, loosen up in front of that ripping hot pan, and seek deliciousness at all costs. (And yes, there will be more mortadella.) More Is More is a philosophy that encourages more risk-taking, better intuition, fewer exact measurements, and a “don’t stop ‘til it tastes delicious” mentality. 

The recipes in More Is More are fit for any day of the week and for cooks of all skill levels. Each recipe will teach a technique or flavor combination that takes Molly’s maximalist, “leave no flavor on the cutting board” approach. So crank your ovens! Grab a fat pinch of salt! And if you’re going to use an ingredient, truly use it. Just one lonely clove of garlic? Not in this cookbook! 

Start your morning with a Crispy Rice Egg-in-a-Hole, throw together a Chicken Salad with Coconut Crunch for lunch, look forward to Drunken Cacio e Pepe for dinner, and save room for a fat slice of Ooey Gooey Carrot Cake for dessert. The Only Meatloaf that Matters will teach you the power of re-frying, while Miso-Braised Chicken and Leeks will ensure you never throw away the green tops of the leeks again. 

Throughout, you’ll encounter dozens of QR codes to step-by-step audio tutorials for a hands-free cook-along experience guided by Molly, plus recipe videos to help illuminate some of the trickier skills and recipes. 

With intoxicatingly delicious recipes, vivid photographs, and Molly's one-of-a-kind playful guidance and whimsy, More Is More will inspire cooks to embrace a fearless mindset to level up their cooking—for life.

Source: Publisher",cocktails; drinks; breakfast; snacks; salad; meat; poultry; seafood; fish; vegetables; main dishes; side dishes; sandwiches; breakfast; dessert,"Los Angeles, California",34.0549,118.2426,2023
item19,The Naked Chef,image/jpeg,nakedchef.jpg,"Oliver, Jamie","Naked Its not himits the food! Jamie Oliver, a.k.a. the Naked Chefis Englands #1 bestselling food sensation, a charismatic, streetwise culinary wonder boy whose personality is as fresh and unpretentious as his cooking. In this extraordinary cookbook, Jamie takes all of the trade secrets he has accumulated since he started cooking at age eight and distills them into a refreshingly simple style that really works for people who are passionate about food, but dont always have a lot of time, money, or space. Jamie has applied his strip it bare then make it work principle to all his mealsfrom salads to roasts, desserts to pastasand has created a foolproof repertoire of simple, feisty, and delicious recipes that combine bold flavours with fresh ingredients. With more than 120 fuss-free recipes, The Naked Chef, a sumptuous feast for the eyes as well as the stomach, is modern cooking at its best.",soups; salads; dressings; pasta; fish; shellfish; meat; poultry; game meat; vegetables; main dishes; side dishes; bread; desserts; sauces; condiments; pickles; pizza,"London, England",51.5072,0.1276,1999
item20,The Naked Chef Takes Off,image/jpeg,nakedcheftakesoff.jpg,"Oliver, Jamie","In The Naked Chef Takes Off, Oliver returns to offer readers more easy and delicious stripped-down recipes. Oliver features mouthwatering breakfasts, tapas, roasts, fish, and desserts. Each recipe is accompanied by Oliver's commentary, which will encourage and inspire cooks of all levels!",breakfast; snacks; appetizers; salads; dressings; soups; pasta; fish; shellfish; meat; poultry; vegetables; main dishes; side dishes; bread; pizza; dessert; cocktails; drinks; sauces; condiments,"London, England",51.5072,0.1276,2000
item21,Nopi: The Cookbook,image/jpeg,nopi.jpg,"Ottolenghi, Yotam; Scully, Ramael","A cookbook from acclaimed London restaurant Nopi, by powerhouse author Yotam Ottolenghi and Nopi head chef Ramael Scully.

Pandan leaves meet pomegranate seeds, star anise meets sumac, and miso meets molasses in this collection of 120 new recipes from Yotam Ottolenghi's restaurant.

In collaboration with Nopi's head chef Ramael Scully, Yotam's journey from the Middle East to the Far East is one of big and bold flavors, with surprising twists along the way.

Source: Publisher",appetizers; salads; side dishes; fish; seafood; meat; game meat; offal; poultry; main dishes; vegetables; brunch; breakfast; desserts; cocktails; condiments,"London, England",51.5072,0.1276,2015
item22,Ottolenghi: The Cookbook,image/jpeg,ottolenghi.jpg,"Ottolenghi, Yotam; Tamimi, Sami","Available for the first time in an American edition, this debut cookbook, from bestselling authors Yotam Ottoloenghi  and Sami Tamimi of Plenty and Jerusalem, features 140 recipes culled from the popular Ottolenghi restaurants and inspired by the diverse culinary traditions of the Mediterranean.

Yotam Ottolenghi's four restaurants–each a patisserie, deli, restaurant, and bakery rolled into one– are among London's most popular culinary destinations. Now readers who can't travel to one of the pristine food shops can re-create its famous dishes at home with recipes like Harissa-Marinated Chicken with Red Grapefruit Salad, and Cauliflower and Cumin Fritters with Lime Yogurt. The recipes reflect the authors' upbringings in Jerusalem yet also incorporate culinary traditions from California, Italy, and North Africa, among others. Featuring abundant produce, a full chapter devoted to the ""mighty eggplant,"" and numerous fish and meat dishes, as well as Ottolenghi's famed cakes and breads, Ottolenghi invites readers into a world of inventive flavors and fresh, vibrant cooking.

Source: Publisher",vegetables; salads; soup; side dishes; meat; poultry; fish; shellfish; breads; pastry; desserts; sauces; condiments; preserves; Middle Eastern; Mediterranean,"London, England",51.5072,0.1276,2013
item23,Plenty: Vibrant Vegetable Recipes from London's Ottolenghi,image/jpeg,plenty.jpg,"Ottolenghi, Yotam","With his fabulous restaurants and bestselling Ottolenghi Cookbook, Yotam Ottolenghi has established himself as one of the most exciting talents in the world of cookery and food writing. This exclusive collection of vegetarian recipes is drawn from his column 'The New Vegetarian' for the Guardian's Weekend magazine, and features both brand-new recipes and dishes first devised for that column.

Yotam's food inspiration comes from his strong Mediterranean background and his unapologetic love of ingredients. Not a vegetarian himself, his approach to vegetable dishes is wholly original and innovative, based on strong flavours and stunning, fresh combinations. With sections devoted to cooking greens, aubergines, brassicas, rice and cereals, pasta and couscous, pulses, roots, squashes, onions, fruit, mushrooms and tomatoes, the breadth of colours, tastes and textures is extraordinary.

Featuring vibrant, evocative food photography from acclaimed photographer Jonathan Lovekin, and with Yotam's voice and personality shining through, Plenty is a must-have for meat-eaters and vegetarians alike.",vegetables; salads; soups; pasta; side dishes; main dishes; vegetarian; Mediterranean; Middle Eastern,"London, England",51.5072,0.1276,2011
item24,"Pok Pok: Food Stories from the Streets, Homes, and Roadside Restaurants of Thailand",image/jpeg,pokpok.jpg,"Ricker, Andy; Goode, J.J.","A guide to bold, authentic Thai cooking from Andy Ricker, the chef and owner of the wildly popular and widely lauded Pok Pok restaurants.

After decades spent traveling throughout Thailand, Andy Ricker wanted to bring the country's famed street food stateside. In 2005 he opened Pok Pok, so named for the sound a pestle makes when it strikes a clay mortar, in an old shack in a residential neighborhood of Portland, Oregon. Ricker's traditional take on Thai food soon drew the notice of the New York Times and Gourmet magazine, establishing him as a culinary star. Now, with his first cookbook, Ricker tackles head-on the myths that keep people from making Thai food at home: that it's too spicy for the American palate or too difficult to source ingredients.

Ricker shares more than fifty of the most popular recipes from Thailand and his Pok Pok restaurants—ranging from Khao Soi Kai (Northern Thai curry noodle soup with chicken) to Som Tam Thai (Central Thai–style papaya salad) to Pok Pok’s now-classic (and obsessed-over) Fish-Sauce Wings. But Pok Pok is more than just a collection of favorite recipes: it is also a master course in Thai cooking from one of the most passionate and knowledgeable authorities on the subject. Clearly written, impeccably tested recipes teach you how to source ingredients; master fundamental Thai cooking techniques and skills; understand flavor profiles that are unique to Southeast Asian cuisine; and combine various dishes to create show-stopping, well-balanced meals for family and friends.

Filled with thoughtful, colorful essays about Ricker’s travels and experiences, Pok Pok is not only a definitive resource for home cooks, but also a celebration of the rich history, vibrant culture, and unparalleled deliciousness of Thai food.

Source: Publisher",Thai; Asian; rice; salads; condiments; sauces; desserts; street food; main dishes; side dishes; noodles; soups; meat; poultry; seafood; fish,"Portland, Oregon",45.5152,122.6784,2013
item25,Polpo: A Venetian Cookbook (Of Sorts),image/jpeg,polpo.jpg,"Norman, Russell","Tucked away in a backstreet of London's edgy Soho district, POLPO is one of the hottest restaurants in town. Critics and food aficionados have been flocking to this understated bàcaro where Russell Norman serves up dishes from the back streets of Venice. A far cry from the tourist-trap eateries of the famous floating city, this kind of cooking is unfussy, innovative and exuberantly delicious.

The 140 recipes in the book include caprese stacks; zucchini shoestring fries; asparagus with Parmesan and anchovy butter; butternut risotto; arancini, rabbit cacciatore; warm duck salad with wet walnuts and beets; crispy baby pizzas with prosciutto and rocket; scallops with lemon and peppermint; mackerel tartare; linguine with clams; whole sea bream; warm octopus salad; soft-shell crab in Parmesan batter with fennel salad; walnut and honey semifreddo; tiramisù; fizzy bellinis and glasses of bright orange spritz.

With luminescent photography by Jenny Zarins, which captures the unfrequented corners, the bustling bàcari and the sublime waterways of Venice, POLPO is a dazzling tribute to Italy's greatest hidden cuisine.

Source: Publisher",game meat; Italian; cocktails; desserts; seafood; fish; meat; poultry; snacks; offal; vegetables; soup; pasta; pizza; salads; bread; main dishes; side dishes; appetizers,"Venice, Italy",45.4404,12.316,2012
item26,Ottolenghi Test Kitchen: Shelf Love,image/jpeg,shelflove.jpg,"Murad, Noor; Ottolenghi, Yotam","From the New York Times bestselling author and his superteam of chefs, this is Ottolenghi, unplugged: 86 irresistible recipes for relaxed, flexible home cooking that will bring the love to every shelf in your pantry, fridge, and freezer.

Led by Yotam Ottolenghi and Noor Murad, the revered team of chefs at the Ottolenghi Test Kitchen gives everyday home cooks the accessible yet innovative Middle Eastern-inspired recipes they need to put dinner on the table with less stress and less fuss. With fit-for-real-life chapters like ""The Freezer Is Your Friend,"" ""That One Shelf in the Back of Your Pantry,"" and ""Who Does the Dishes?"" (a.k.a. One-Pot Meals), Shelf Love teaches readers how to flex with fewer ingredients, get creative with their pantry staples, and add playful twists to familiar classics.

All the signature Ottolenghi touches fans love are here--big flavors, veggie-forward appeal, diverse influences--but are distilled to maximize ease and creative versatility. These dishes pack all the punch and edge you expect from Ottolenghi, using what you've got to hand--that last can of chickpeas or bag of frozen peas--without extra trips to the grocery store. Humble ingredients and crowd-pleasing recipes abound, including All-the-Herbs Dumplings with Caramelized Onions, Mac and Cheese with Za'atar Pesto, Cacio e Pepe Chickpeas, and Crispy Spaghetti and Chicken.

With accessible recipe features like MIYO (Make It Your Own) that encourage ingredient swaps and a whimsical, lighthearted spirit, the fresh voices of the Ottolenghi Test Kitchen will deliver kitchen confidence and joyful inspiration to new and old fans alike.

Source: Publisher",sauces; condiments; pickles; dressings; desserts; salads; main dishes; appetizers; baking; vegetables; Middle Eastern; pasta; side dishes; poultry; fish; meat; ,"London, England",51.5072,0.1276,2021
